Table,Year,Data_item,Region,State,Value,Units
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Colorado,79.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Idaho,147.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Montana,36.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Nevada,13.90,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,New Mexico,31.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Utah,80.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Wyoming,15.50,Thousand head
Milk cows,1971,"Milk cows, average inventory",Mountain Region,Total region,452.40,Thousand head
Milk cows,1971,"Milk cows, average inventory",West Coast,California,763.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",West Coast,Oregon,95.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",West Coast,Washington,180.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",West Coast,Total region,1038.00,Thousand head
Milk cows,1971,"Milk cows, average inventory",Other States,Alaska,1.70,Thousand head
Milk cows,1971,"Milk cows, average inventory",Other States,Hawaii,12.80,Thousand head
Milk cows,1971,"Milk cows, average inventory",Other States,Total region,14.50,Thousand head
Milk cows,1971,"Milk cows, average inventory",United States,Total region,11839.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Connecticut,57.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Delaware,12.30,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Maine,61.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Maryland,148.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Massachusetts,57.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,New Hampshire,33.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,New Jersey,60.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,New York,920.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Pennsylvania,684.00,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Rhode Island,6.20,Thousand head
Milk cows,1972,"Milk cows, average inventory",Northeast,Vermont,195.00,Thousand head
